CRASH_RECORD_ID,by_year_crash_date,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,ROAD_DEFECT
228,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,OTHER,NO DEFECTS
30,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,WORN SURFACE
1,01/01/2023 12:00:00 AM,UNKNOWN,OTHER,"RUT, HOLES"
5,01/01/2022 12:00:00 AM,UNKNOWN,UNKNOWN,WORN SURFACE
10540,01/01/2022 12:00:00 AM,NO CONTROLS,NO CONTROLS,UNKNOWN
84,01/01/2019 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,NO DEFECTS
118,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,WORN SURFACE
8,01/01/2021 12:00:00 AM,OTHER,FUNCTIONING IMPROPERLY,NO DEFECTS
2,01/01/2019 12:00:00 AM,NO CONTROLS,WORN REFLECTIVE MATERIAL,WORN SURFACE
22080,01/01/2023 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,NO DEFECTS
2,01/01/2023 12:00:00 AM,UNKNOWN,OTHER,OTHER
1,01/01/2019 12:00:00 AM,POLICE/FLAGMAN,OTHER,UNKNOWN
1,01/01/2022 12:00:00 AM,OTHER,NO CONTROLS,"RUT, HOLES"
2694,01/01/2021 12:00:00 AM,UNKNOWN,UNKNOWN,UNKNOWN
1,01/01/2022 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING PROPERLY,WORN SURFACE
5,01/01/2022 12:00:00 AM,OTHER RAILROAD CROSSING,NO CONTROLS,NO DEFECTS
18,01/01/2020 12:00:00 AM,UNKNOWN,UNKNOWN,"RUT, HOLES"
2,01/01/2022 12:00:00 AM,UNKNOWN,UNKNOWN,DEBRIS ON ROADWAY
1,01/01/2020 12:00:00 AM,NO CONTROLS,OTHER,"RUT, HOLES"
2,01/01/2023 12:00:00 AM,RR CROSSING SIGN,NO CONTROLS,NO DEFECTS
798,01/01/2020 12:00:00 AM,UNKNOWN,UNKNOWN,NO DEFECTS
110,01/01/2021 12:00:00 AM,UNKNOWN,NO CONTROLS,NO DEFECTS
25,01/01/2023 12:00:00 AM,OTHER,NO CONTROLS,UNKNOWN
23,01/01/2019 12:00:00 AM,POLICE/FLAGMAN,FUNCTIONING PROPERLY,NO DEFECTS
2,01/01/2023 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING IMPROPERLY,UNKNOWN
6,01/01/2020 12:00:00 AM,DELINEATORS,OTHER,NO DEFECTS
2,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,NO CONTROLS,"RUT, HOLES"
1,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,WORN SURFACE
65,01/01/2019 12:00:00 AM,OTHER REG. SIGN,FUNCTIONING PROPERLY,NO DEFECTS
4,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,OTHER,OTHER
